[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,90.57425743,90.58557284,90.61951909,90.33380481,90.57991513,90.53748232,89.86138614,90.42149929,90.41867044,90.5572843,90.46110325,90.44695898,90.62800566,90.44130127,90.36209335,90.57708628,90.23762376,90.15558699,90.28854314,90.47241867,90.08769448,90.29137199,90.5884017,90.46676096,90.21782178,90.4950495,90.19519095,90.21216407,90.44978784,90.77510608,90.41131542
,99.64875491,99.30013106,99.38663172,99.33682831,99.58060288,99.56749672,98.75753604,99.26867628,99.28178244,99.64351245,99.62778506,99.38925295,99.66972477,99.48623853,99.38663172,99.46526868,99.20838794,99.37614679,99.19790301,99.39973788,99.01179554,99.16644823,99.68545216,99.43643512,99.30013106,99.44167759,99.03538663,99.23984273,99.39187418,99.9423329,99.38768021
,108.6764347,108.2954823,108.5225885,108.2637363,108.7228327,108.5396825,107.6752137,108.2222222,108.1807082,108.964591,108.5592186,108.4151404,108.5152625,108.2661783,108.4957265,108.4835165,108.3101343,108.2564103,108.2051282,108.3711844,107.8632479,108.3125763,108.6568987,108.3369963,108.4346764,108.1953602,108.0879121,108.4713065,108.0830281,108.6837607,108.3689052
,119.5011338,119.3151927,119.537415,119.2879819,120.2539683,119.5873016,118.9501134,119.553288,119.2199546,120.0748299,119.6689342,119.6485261,119.5510204,119.5079365,119.6893424,119.6938776,119.2947846,119.4376417,119.1043084,119.5351474,118.9886621,119.244898,119.4829932,119.2585034,119.5260771,119.5011338,119.0839002,119.6145125,119.4036281,119.7414966,119.4752834
,129.7904762,129.6994709,130.1883598,130.0021164,130.5566138,130.0677249,129.3587302,130.0126984,129.8497354,130.3280423,129.6804233,129.978836,129.9174603,129.8962963,130.1164021,130.0338624,129.6994709,129.9386243,129.5555556,129.9767196,129.3608466,129.4835979,129.9449735,129.7904762,129.8116402,129.7989418,129.4243386,129.9174603,129.7820106,130.3026455,129.875485
,143.2019704,143.1093596,143.7615764,143.546798,143.8896552,143.5625616,142.8689655,143.5960591,143.6374384,143.7004926,143.1093596,143.4581281,143.4108374,143.2571429,143.6256158,143.5133005,143.1881773,143.4147783,143.1192118,143.3793103,142.679803,143.1152709,143.3674877,143.1507389,143.2591133,143.0679803,142.7310345,143.2610837,143.270936,143.7320197,143.3328736
,155.6446886,155.4395604,156.0604396,156.0311355,156.0531136,156.1556777,155.3040293,156.1849817,155.9047619,156.0494505,155.3205128,155.8772894,155.8021978,155.6336996,155.8168498,155.9194139,155.4395604,155.6904762,155.5732601,155.7930403,155.1098901,155.5897436,155.8131868,155.6227106,155.5879121,155.6630037,155.2307692,155.7179487,155.7930403,156.1172161,155.7313187
,171.508982,171.1394354,171.534645,171.4935843,171.8682635,171.7296835,170.855432,171.8665526,171.4747648,171.9863131,171.332763,171.7467921,171.6201882,171.283148,171.332763,171.635586,171.1548332,171.4542344,171.34645,171.5962361,170.9341317,171.3806672,171.3224979,171.4319932,171.3977759,171.3036784,171.1907613,171.5055603,171.3105218,171.5637297,171.4433989
,186.5937749,186.2649641,186.4229848,186.4948125,187.0247406,186.6464485,185.9473264,186.8858739,186.5506784,187.0039904,186.4612929,186.707103,186.6959298,186.4373504,186.443735,186.612929,186.0590583,186.4948125,186.5826018,186.6480447,186.2154828,186.3942538,186.5826018,186.6209098,186.6975259,186.3782921,186.1644054,186.3830806,186.3463687,186.8986433,186.5220005
,204.3660714,204.4479167,204.3377976,204.1979167,205.0327381,204.4776786,203.8452381,204.6636905,204.2857143,205.0744048,204.4107143,204.6488095,204.3214286,204.483631,204.1354167,204.5907738,204.0505952,204.28125,204.3377976,204.3958333,204.3035714,204.4955357,204.6220238,204.5758929,204.4285714,204.28125,204.4330357,204.4940476,204.3020833,204.4300595,204.4250496
