[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,69.43915344,69.16049383,69.51675485,69.36507937,69.5026455,69.75308642,69.59435626,69.67548501,69.17107584,69.34391534,69.37566138,69.53439153,69.34744268,69.25220459,69.70017637,69.23104056,69.38624339,69.31216931,69.28042328,69.3968254,69.25220459,69.7319224,69.05467372,69.45326279,69.329806,69.19223986,69.46031746,69.41446208,69.36155203,69.39329806,69.39941211
,75.77668309,75.68472906,75.73070608,75.52052545,75.87848933,76.17077176,75.75369458,75.95730706,75.25779967,75.65517241,75.80295567,75.87520525,75.69129721,75.36617406,75.88505747,75.48768473,75.80623974,75.6091954,75.81937603,75.69458128,75.5862069,75.89490969,75.59605911,75.57307061,75.54022989,75.60262726,75.6683087,75.73070608,75.85550082,75.80295567,75.70914067
,82.97264438,82.96960486,82.96960486,82.40121581,82.93009119,83.14589666,82.87841945,82.88145897,82.42553191,82.91489362,82.82978723,83.07598784,82.92705167,82.4893617,83.04559271,82.55015198,82.62006079,82.55927052,82.62613982,82.68389058,82.80851064,82.71732523,82.48328267,82.74164134,82.69908815,82.6899696,82.72340426,82.92401216,83.0212766,82.87537994,82.78601824
,90.47524752,90.41301273,90.74115983,90.15558699,90.19236209,90.67609618,90.38189533,90.27157001,90.11598303,90.5884017,90.21216407,90.28288543,90.34794908,90.1301273,90.47807638,90.05091938,90.26591231,90.07355021,90.27722772,90.39886846,90.55445545,90.33663366,90.35077793,90.4582744,90.48090523,90.11881188,90.26591231,90.51485149,90.45261669,90.25459689,90.34389439
,99.54652687,99.27916121,99.77457405,99.0982962,99.05897772,99.56487549,99.23984273,99.08519004,99.20052425,99.52293578,99.34993447,99.27391874,99.49934469,99.0982962,99.54390564,99.05111402,99.30275229,99.14285714,99.39187418,99.38663172,99.67758847,99.25294889,99.25557012,99.28440367,99.44692005,99.31323722,99.39187418,99.24508519,99.33158585,99.08256881,99.32311053
,108.6520147,108.0610501,108.4981685,108.0561661,108.1001221,108.3858364,108.029304,108.3028083,108.2295482,108.4102564,108.4566545,108.1221001,108.2954823,108.1074481,108.5738706,108.041514,108.2686203,108.029304,108.4273504,108.5421245,108.8327228,108.2857143,108.2979243,108.1123321,108.4884005,108.4395604,108.4297924,108.002442,108.4908425,108.1050061,108.3024827
,119.6394558,119.4807256,119.8390023,119.2993197,119.324263,119.6689342,119.0521542,119.5260771,119.6780045,119.6258503,119.5941043,119.138322,119.478458,119.4648526,119.537415,119.4761905,119.1746032,119.2494331,119.5782313,120.0272109,119.9138322,119.7052154,119.4195011,119.3764172,119.893424,119.61678,119.5328798,119.2811791,119.6031746,119.1746032,119.5123205
,130.0465608,130.0910053,130.1989418,129.9407407,129.6867725,129.9111111,129.7756614,129.8137566,129.9449735,130.2179894,130.010582,129.6042328,129.9513228,129.9724868,129.7608466,129.8010582,129.6910053,129.5216931,130.2243386,130.4380952,130.3343915,130.0275132,129.8497354,129.7100529,130.0952381,130.0042328,129.7989418,129.7015873,130.4465608,129.5915344,129.9387654
,143.5093596,143.5152709,143.7793103,143.6019704,142.9990148,143.4049261,143.0147783,143.270936,143.3517241,143.4147783,143.3950739,143.008867,143.4068966,143.4226601,143.3536946,143.1704433,143.1073892,142.8019704,143.7477833,143.5763547,143.7261084,143.444335,143.4935961,143.2591133,143.4561576,143.4975369,142.9596059,142.8334975,143.8147783,143.0147783,143.3450903
,155.9688645,155.7124542,156.040293,156.010989,155.5128205,155.7912088,155.4798535,155.6227106,155.9340659,155.8388278,155.6263736,155.3095238,155.5567766,155.7673993,155.7582418,155.5128205,155.3223443,155.1758242,156.0164835,156.1190476,156.2380952,155.7600733,156.1391941,155.8901099,155.9871795,155.7912088,155.510989,155.2875458,156.1446886,155.5274725,155.745116
,171.8203593,171.4627887,171.8905047,171.5893926,171.4063302,171.5791275,171.3447391,171.2010265,171.6270317,171.3481608,171.5141146,170.9597947,171.2095808,171.4302823,171.5500428,171.2660393,171.0590248,170.8845167,171.6988879,171.887083,171.6817793,171.4183062,171.9178785,171.6526946,171.609923,171.3738238,171.0419162,171.0402053,171.6988879,171.1360137,171.4433419
,186.9768555,186.7741421,187.0534717,186.39585,186.6241022,186.5554669,186.2186752,186.4229848,186.3703113,186.4565044,186.509178,186.3623304,186.2649641,186.6288907,186.4549082,186.3351955,186.3415802,185.9201915,186.6895451,187.1173184,186.8140463,186.7023144,186.9465283,186.4884278,186.6081405,186.6241022,186.443735,186.330407,186.7182761,186.3383879,186.5495611
,204.6369048,204.5699405,204.9122024,204.3318452,204.5699405,204.3303571,204.172619,204.3988095,204.3794643,204.3110119,204.1875,204.389881,204.3005952,204.671131,204.3020833,204.391369,204.46875,203.9866071,204.4747024,205,204.7693452,204.5982143,204.6145833,204.5014881,204.5654762,204.5833333,204.5550595,204.2738095,204.828869,204.0803571,204.471875
